case_id,mode,seed,pair_bias_effective,voice_bias_effective,expected_speakers,correct_voice_assignments,dialogue_correct,reference_words_copied,lip_sync_acceptable,notes
2_characters,off,12345,0,0,2,,,,,
2_characters,pair_only,12345,0.5,0,2,,,,,
2_characters,scheduled,12345,0.5,0.5,2,,,,,
2_characters,off,67890,0,0,2,,,,,
2_characters,pair_only,67890,0.5,0,2,,,,,
2_characters,scheduled,67890,0.5,0.5,2,,,,,
2_characters,off,54321,0,0,2,,,,,
2_characters,pair_only,54321,0.5,0,2,,,,,
2_characters,scheduled,54321,0.5,0.5,2,,,,,
3_characters,off,12345,0,0,3,,,,,
3_characters,pair_only,12345,0.5,0,3,,,,,
3_characters,scheduled,12345,0.5,0.5,3,,,,,
3_characters,off,67890,0,0,3,,,,,
3_characters,pair_only,67890,0.5,0,3,,,,,
3_characters,scheduled,67890,0.5,0.5,3,,,,,
3_characters,off,54321,0,0,3,,,,,
3_characters,pair_only,54321,0.5,0,3,,,,,
3_characters,scheduled,54321,0.5,0.5,3,,,,,
