case,speakers,seed,variant,reference_presentation,av_layout,binding_mode,pair_bias,voice_bias,boundary_fade_seconds,status,case_fingerprint,run_settings,correct_voices,dialogue_correct,source_repeated,intelligible,lip_sync_correct,emotion_correct,render_seconds,output_file,notes
cast_1,1,101,latent_separate,latent_only,separate,off,0.5,0.5,0.1,pending,,,,,,,,,,,
cast_1,1,101,native_separate,native,separate,off,0.5,0.5,0.1,pending,,,,,,,,,,,
cast_1,1,101,native_paired,native,paired,off,0.5,0.5,0.1,pending,,,,,,,,,,,
cast_1,1,101,pair_bias,native,paired,pair_only,0.5,0.5,0.1,pending,,,,,,,,,,,
cast_1,1,101,scheduled_bias,native,paired,scheduled,0.5,0.5,0.1,pending,,,,,,,,,,,
cast_1,1,202,latent_separate,latent_only,separate,off,0.5,0.5,0.1,pending,,,,,,,,,,,
cast_1,1,202,native_separate,native,separate,off,0.5,0.5,0.1,pending,,,,,,,,,,,
cast_1,1,202,native_paired,native,paired,off,0.5,0.5,0.1,pending,,,,,,,,,,,
cast_1,1,202,pair_bias,native,paired,pair_only,0.5,0.5,0.1,pending,,,,,,,,,,,
cast_1,1,202,scheduled_bias,native,paired,scheduled,0.5,0.5,0.1,pending,,,,,,,,,,,
cast_1,1,303,latent_separate,latent_only,separate,off,0.5,0.5,0.1,pending,,,,,,,,,,,
cast_1,1,303,native_separate,native,separate,off,0.5,0.5,0.1,pending,,,,,,,,,,,
cast_1,1,303,native_paired,native,paired,off,0.5,0.5,0.1,pending,,,,,,,,,,,
cast_1,1,303,pair_bias,native,paired,pair_only,0.5,0.5,0.1,pending,,,,,,,,,,,
cast_1,1,303,scheduled_bias,native,paired,scheduled,0.5,0.5,0.1,pending,,,,,,,,,,,
cast_2,2,101,latent_separate,latent_only,separate,off,0.5,0.5,0.1,pending,,,,,,,,,,,
cast_2,2,101,native_separate,native,separate,off,0.5,0.5,0.1,pending,,,,,,,,,,,
cast_2,2,101,native_paired,native,paired,off,0.5,0.5,0.1,pending,,,,,,,,,,,
cast_2,2,101,pair_bias,native,paired,pair_only,0.5,0.5,0.1,pending,,,,,,,,,,,
cast_2,2,101,scheduled_bias,native,paired,scheduled,0.5,0.5,0.1,pending,,,,,,,,,,,
cast_2,2,202,latent_separate,latent_only,separate,off,0.5,0.5,0.1,pending,,,,,,,,,,,
cast_2,2,202,native_separate,native,separate,off,0.5,0.5,0.1,pending,,,,,,,,,,,
cast_2,2,202,native_paired,native,paired,off,0.5,0.5,0.1,pending,,,,,,,,,,,
cast_2,2,202,pair_bias,native,paired,pair_only,0.5,0.5,0.1,pending,,,,,,,,,,,
cast_2,2,202,scheduled_bias,native,paired,scheduled,0.5,0.5,0.1,pending,,,,,,,,,,,
cast_2,2,303,latent_separate,latent_only,separate,off,0.5,0.5,0.1,pending,,,,,,,,,,,
cast_2,2,303,native_separate,native,separate,off,0.5,0.5,0.1,pending,,,,,,,,,,,
cast_2,2,303,native_paired,native,paired,off,0.5,0.5,0.1,pending,,,,,,,,,,,
cast_2,2,303,pair_bias,native,paired,pair_only,0.5,0.5,0.1,pending,,,,,,,,,,,
cast_2,2,303,scheduled_bias,native,paired,scheduled,0.5,0.5,0.1,pending,,,,,,,,,,,
cast_3,3,101,latent_separate,latent_only,separate,off,0.5,0.5,0.1,pending,,,,,,,,,,,
cast_3,3,101,native_separate,native,separate,off,0.5,0.5,0.1,pending,,,,,,,,,,,
cast_3,3,101,native_paired,native,paired,off,0.5,0.5,0.1,pending,,,,,,,,,,,
cast_3,3,101,pair_bias,native,paired,pair_only,0.5,0.5,0.1,pending,,,,,,,,,,,
cast_3,3,101,scheduled_bias,native,paired,scheduled,0.5,0.5,0.1,pending,,,,,,,,,,,
cast_3,3,202,latent_separate,latent_only,separate,off,0.5,0.5,0.1,pending,,,,,,,,,,,
cast_3,3,202,native_separate,native,separate,off,0.5,0.5,0.1,pending,,,,,,,,,,,
cast_3,3,202,native_paired,native,paired,off,0.5,0.5,0.1,pending,,,,,,,,,,,
cast_3,3,202,pair_bias,native,paired,pair_only,0.5,0.5,0.1,pending,,,,,,,,,,,
cast_3,3,202,scheduled_bias,native,paired,scheduled,0.5,0.5,0.1,pending,,,,,,,,,,,
cast_3,3,303,latent_separate,latent_only,separate,off,0.5,0.5,0.1,pending,,,,,,,,,,,
cast_3,3,303,native_separate,native,separate,off,0.5,0.5,0.1,pending,,,,,,,,,,,
cast_3,3,303,native_paired,native,paired,off,0.5,0.5,0.1,pending,,,,,,,,,,,
cast_3,3,303,pair_bias,native,paired,pair_only,0.5,0.5,0.1,pending,,,,,,,,,,,
cast_3,3,303,scheduled_bias,native,paired,scheduled,0.5,0.5,0.1,pending,,,,,,,,,,,
